address_hand,double_hypen,address,lastSoldPrice,lastSoldDate
1009-S-Gaylord-St-80209,True,,,
1226-S-Vine-St-80209,False,,,
884-S-Williams-St-80209,False,,,
1224-S-Gaylord-St-80209,True,,,
1126-S-Gaylord-St-80209,True,,,
1113-S-High-St-80209,False,,,
1040-S-Gaylord-St-80209,True,,,
1274-S-High-St-80209,False,,,
916-S-High-St-80209,False,,,
541-S-Gilpin-St-80209,False,,,
641-S-Williams-St-80209,False,,,
1018-S-Gaylord-St-80209,True,,,
751-S-Williams-St-80209,False,,,
1110-S-Race-St-80209,False,,,
1144-S-High-St-80209,False,,,
394-S-Gilpin-St-80209,False,,,
350-S-Franklin-St-80209,False,,,
333-S-Gaylord-St-80209,True,,,
1201-S-Vine-St-80209,False,,,
420-S-Williams-St-80209,False,,,
1240-S-Vine-St-80209,False,,,
1201-S-York-St-80209,True,,,
2293-S-York-St-80209,True,,,
1211-S-Gaylord-St-80209,True,,,
1225-S-York-St-80209,True,,,
1271-S-Vine-St-80209,False,,,
1184-S-Vine-St-80209,False,,,
1610-S-Franklin-St-80209,False,,,
410-S-Race-St-80209,False,,,
857-S-Vine-St-80209,False,,,
1153-S-Gaylord-St-80209,True,,,
376-S-York-St-80209,True,,,
1141-S-Vine-St-80209,False,,,
670-S-Franklin-St-80209,False,,,
1095-S-High-St-80209,False,,,
618-S-Franklin-St-80209,False,,,
1220-S-Vine-St-80209,False,,,
839-S-High-St-80209,False,,,
1153-S-Race-St-80209,False,,,
609-S-Gaylord-St-80209,True,,,
1950-S-Race-St-80209,False,,,
536-S-Gaylord-St-80209,True,,,
2015-S-Race-St-80209,False,,,
1110-S-York-St-80209,True,,,
427-S-Gilpin-St-80209,False,,,
1253-S-High-St-80209,False,,,
587-S-Gaylord-St-80209,True,,,
1269-S-Williams-St-80209,False,,,
1130-S-Franklin-St-80209,False,,,
1081-S-Gilpin-St-80209,False,,,
1155-S-Race-St-80209,False,,,
1220-S-York-St-80209,True,,,
368-S-Gilpin-St-80209,False,,,
1161-S-High-St-80209,False,,,
1218-S-High-St-80209,False,,,
601-S-Vine-St-80209,False,,,
1242-S-High-St-80209,False,,,
1125-S-York-St-80209,True,,,
667-S-Vine-St-80209,False,,,
1275-S-High-St-80209,False,,,
590-S-Franklin-St-80209,False,,,
1183-S-Gaylord-St-80209,True,,,
2305-S-York-St-80209,True,,,
1250-S-Williams-St-80209,False,,,
1274-S-Gaylord-St-80209,True,,,
504-S-Williams-St-80209,False,,,
960-S-Williams-St-80209,False,,,
1110-S-Williams-St-80209,False,,,
1231-S-Gaylord-St-80209,True,,,
1015-S-Gaylord-St-80209,True,,,
1064-S-Gaylord-St-80209,True,,,
1740-S-Williams-St-80209,False,,,
1112-S-Gilpin-St-80209,False,,,
1293-S-Williams-St-80209,False,,,
1747-S-Williams-St-80209,False,,,
1164-S-Race-St-80209,False,,,
2041-S-Vine-St-80209,False,,,
1135-S-High-St-80209,False,,,
558-S-York-St-80209,True,,,
1155-S-High-St-80209,False,,,
1266-S-Williams-St-80209,False,,,
647-S-Williams-St-80209,False,,,
1053-S-High-St-80209,False,,,
1803-S-Williams-St-80209,False,,,
